fishery_name,est_cg,param,bias_type,mean,sd,median,q2.5,q10,q90,q97.5,rhat,ess_bulk,ess_tail,post_var,prior_sigma,prior_var,prior_contraction,fit_config,model_file,n_div,runtime_sec,b_trailer_informed,b_weakly_informed,informed_flag
Skagit spring Chinook 2024 upper,Chinook_Adult_AD_Kept,b[2],trailer,0.49473700767247986,0.07010012479843791,0.489491439016732,0.37999120206343245,0.40778368610350546,0.5837324186995708,0.6552922439370169,1.003208125224105,338.1760010632009,364.7887321082203,0.00491402749675657,1,4.670774270471604,0.9989479201493802,quick,BSS_creel_model_02_2021-01-22_ppc.stan,7,413.601735830307,TRUE,FALSE,informed
Skagit summer sockeye 2024,Sockeye_Adult_AD|UM_Kept,b[1],vehicle,0.7405232041857299,0.05841116701208009,0.7351027159453869,0.6285622427515619,0.6688694996958618,0.8181723916277062,0.863183038003053,0.9979011494993052,467.23754237789313,387.2673948220064,0.00341186443171311,1,4.670774270471604,0.9992695291542384,quick,BSS_creel_model_02_2021-01-22_ppc.stan,8,359.84073305130005,TRUE,FALSE,informed
Skagit summer sockeye 2024,Sockeye_Adult_AD|UM_Kept,b[2],trailer,0.6571088826624422,0.08340610138385447,0.6502273290471035,0.5132535481503331,0.5592579035221401,0.756684273520268,0.841041665732152,1.005344322990418,381.3210586900621,367.9211488411656,0.00695657774805381,1,4.670774270471604,0.9985106157255268,quick,BSS_creel_model_02_2021-01-22_ppc.stan,8,359.84073305130005,TRUE,FALSE,informed
Skagit fall salmon 2025,Coho_Adult_AD|UM_Kept,b[1],vehicle,0.8520783129738484,0.03464395217720113,0.8515521647832756,0.7856367119498557,0.8064525654719148,0.8968724099022557,0.9187197905155052,1.0456717788804084,41.433984855060984,282.27694368244175,0.00120020342245619,1,4.670774270471604,0.9997430397289708,quick,BSS_creel_model_02_2021-01-22_ppc.stan,0,6399.44721698761,TRUE,FALSE,unconverged
Skagit fall salmon 2025,Coho_Adult_AD|UM_Kept,b[2],trailer,0.7880484546446382,0.04360186574833515,0.786231369267165,0.7079873110159232,0.7327331414943092,0.8456463650366066,0.8851408143131372,1.006543311575356,514.430620822143,395.6454647943935,0.00190112269673584,1,4.670774270471604,0.9995929748288728,quick,BSS_creel_model_02_2021-01-22_ppc.stan,0,6399.44721698761,TRUE,FALSE,informed
Skagit spring Chinook 2025 lower,Chinook_Adult_AD_Kept,b[1],vehicle,1.102033235456538,0.1391327789507262,1.1066064627853878,0.8594437904386475,0.9193311244661606,1.2848177377932637,1.386119410417442,1.006144936140986,373.4485224734637,470.8673783587081,0.01935793017855164,1,4.670774270471604,0.9958555200792016,quick,BSS_creel_model_02_2021-01-22_ppc.stan,18,131.02824187278748,TRUE,FALSE,informed
Skagit spring Chinook 2025 lower,Chinook_Adult_AD_Kept,b[2],trailer,0.9936813405929192,0.17838108803615152,0.987516055529494,0.698018983917341,0.7682243519473819,1.209184210053864,1.3678399756960296,1.010773472696148,233.03300201367776,317.569725217102,0.03181981256896124,1,4.670774270471604,0.9931874651339664,quick,BSS_creel_model_02_2021-01-22_ppc.stan,18,131.02824187278748,TRUE,FALSE,informed
Skagit spring Chinook 2025 upper,Chinook_Adult_AD_Kept,b[1],vehicle,1.8542200451789443,0.14122534809067583,1.805149576148404,1.6440370269698803,1.7215525953622262,2.0544229822102453,2.1849327863655645,1.0470035098486066,32.04732848882553,194.1550920787376,0.01994459894333255,1,4.670774270471604,0.9957299159007916,quick,BSS_creel_model_02_2021-01-22_ppc.stan,244,447.01906299591064,TRUE,FALSE,unconverged
Skagit spring Chinook 2025 upper,Chinook_Adult_AD_Kept,b[2],trailer,1.2574909631199336,0.1807544224679561,1.279049148172983,0.9158157525252798,1.0414270816089175,1.4525411497273062,1.6567460884818743,1.1001164236342316,25.996373253597735,204.62326036642943,0.03267216124172434,1,4.670774270471604,0.9930049796137064,quick,BSS_creel_model_02_2021-01-22_ppc.stan,244,447.01906299591064,TRUE,FALSE,unconverged
Skagit summer sockeye 2025,Sockeye_Adult_AD|UM_Kept,b[1],vehicle,0.703176718313017,0.06039851895149054,0.6996381915702148,0.5892197364804892,0.6271792003662758,0.7843334288160324,0.8226216660935791,1.0015782346323212,487.9984376583874,366.1212920356715,0.00364798109153356,1,4.670774270471604,0.999218977222985,quick,BSS_creel_model_02_2021-01-22_ppc.stan,11,192.1479618549347,TRUE,FALSE,informed
Skagit summer sockeye 2025,Sockeye_Adult_AD|UM_Kept,b[2],trailer,0.9048334180033374,0.11696474034279009,0.8986575428208023,0.6921526835522982,0.7689553309507758,1.057226171894392,1.1697191229636932,1.0055705526121532,375.961739253106,456.73675645263495,0.0136807504834563,1,4.670774270471604,0.997070988728797,quick,BSS_creel_model_02_2021-01-22_ppc.stan,11,192.1479618549347,TRUE,FALSE,informed
